Real;Evento;año;mes;Tipo de Evento;Origen;N.º Cámara;Cámaras;Direccion 0;Direccion;Resultado;CIUDAD;PROVINCIA;PAIS;ENLACE;Longitud y Latitud;estado_coordenada
478;1;2023;1;Robo/Hurto Automotor;CATE 911;349;CON;San Antonio;Hernandarias;No Asiste;Mar del Plata;Buenos Aires;Argentina;San Antonio y Hernandarias ;-57.5661656,-38.033857;PENDIENTE_GEOCODIFICAR
516;1;2023;1;Robo/Hurto Automotor;CATE 911;205;CON;Mendoza;Patricio Peralta Ramos;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Mendoza y Patricio Peralta Ramos ;-57.532792300014926,-38.00993141348637;corregido_manual
564;1;2023;1;Robo/Hurto Automotor;CATE 911;449;CON;Constitucion;Marcos Sastre;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Constitucion y Marcos Sastre ;-57.557689,-37.963516;PENDIENTE_GEOCODIFICAR
576;1;2023;1;Robo/Hurto Automotor;CATE 911;16;CON;Arturo Alio;Castelli;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Arturo Alio y Castelli ;-57.6035806,-37.985445;ok
702;1;2023;1;Robo/Hurto Automotor;CATE 911;462;CON;De La Plaza;Castex;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;De La Plaza y Castex ;-57.5897057,-38.025842;ok
941;1;2023;1;Robo/Hurto Automotor;CATE 911;544;CON;Belgrano;La Rioja;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Belgrano y La Rioja ;-57.55215151644766,-37.998913808017754;corregido_paso1_cruce_interno
1174;1;2023;1;Robo/Hurto Automotor;CATE 911;596;CON;Independencia;Veinticinco de 05;Hallazgo Automotor;Mar del Plata;Buenos Aires;Argentina;Independencia y Veinticinco de 05 ;-57.5522649,-37.995545;PENDIENTE_GEOCODIFICAR
1237;1;2023;1;Robo/Hurto Automotor;CATE 911;204;CON;Guemes;Falucho;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Guemes y Falucho ;-57.53852423481211,-38.01169536385459;corregido_manual
1543;1;2023;1;Robo/Hurto Automotor;CATE 911;111;CON;Rivadavia;Corrientes;Hallazgo Automotor;Mar del Plata;Buenos Aires;Argentina;Rivadavia y Corrientes ;-57.54455,-38.00176;corregido_paso1_cruce_interno
1569;1;2023;1;Robo/Hurto Automotor;CATE 911;245;CON;Jose M Estrada;Esquiu;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Jose M Estrada y Esquiu ;-57.5458781,-37.956048;PENDIENTE_GEOCODIFICAR
1638;1;2023;1;Robo/Hurto Automotor;CATE 911;812;CON;Ortega Y Gasset;Lijo Lopez;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Ortega Y Gasset y Lijo Lopez ;-57.5616779,-37.961495;ok
1669;1;2023;1;Robo/Hurto Automotor;CATE 911;546;CON;Guemes;Falucho;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Guemes y Falucho ;-57.53852423481211,-38.01169536385459;corregido_manual
1682;1;2023;1;Robo/Hurto Automotor;CATE 911;353;CON;Corrientes;Juan B Justo;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Corrientes y Juan B Justo ;-57.563246942325286,-38.024877274223705;corregido_manual
1700;1;2023;1;Robo/Hurto Automotor;CATE 911;702;CON;Juan B Justo;Jacinto Peralta Ramos;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Juan B Justo y Jacinto Peralta Ramos ;-57.5711611,-38.018900;PENDIENTE_GEOCODIFICAR
1748;1;2023;1;Robo/Hurto Automotor;CATE 911;479;CON;Matheu;Independencia;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Matheu y Independencia ;-57.5665124,-38.013140;PENDIENTE_GEOCODIFICAR
1825;1;2023;1;Robo/Hurto Automotor;CATE 911;54;CON;Pedro Luro;Termas De Rio Hondo;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Pedro Luro y Termas De Rio Hondo ;-57.5943871,-37.974118;PENDIENTE_GEOCODIFICAR
1847;1;2023;1;Robo/Hurto Automotor;CATE 911;406;CON;Ayolas;Polonia;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Ayolas y Polonia ;-57.592101,-38.011097;PENDIENTE_GEOCODIFICAR
2019;1;2023;1;Robo/Hurto Automotor;CATE 911;456;CON;Alberti;Sarmiento;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Alberti y Sarmiento ;-57.5889807,-37.9883990;corregido_automatico
2202;1;2023;1;Robo/Hurto Automotor;CATE 911;550;CON;Garay;Guemes;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Garay y Guemes ;-57.541080657673575,-38.014882937270244;corregido_manual
2394;1;2023;1;Robo/Hurto Automotor;CATE 911;632;CON;Libertad;Mariano Acosta;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Libertad y Mariano Acosta ;-57.5804727,-37.974359;PENDIENTE_GEOCODIFICAR
2447;1;2023;1;Robo/Hurto Automotor;CATE 911;467;CON;Reforma Universitaria;Doce de 10;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Reforma Universitaria y Doce de 10 ;-57.59574862883184,-38.00567710421906;corregido_manual
2801;1;2023;1;Robo/Hurto Automotor;CATE 911;556;CON;Hipolito Yrigoyen;Alvarado;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Hipolito Yrigoyen y Alvarado ;-57.5583031,-38.0083321;corregido_automatico
2840;1;2023;1;Robo/Hurto Automotor;CATE 911;111;CON;Rivadavia;Corrientes;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Rivadavia y Corrientes ;-57.54455,-38.00176;corregido_paso1_cruce_interno
2852;1;2023;1;Robo/Hurto Automotor;CATE 911;396;CON;Castelli;Chilabert;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Castelli y Chilabert ;-57.609994948405166,-37.981072225297254;corregido_manual
3014;1;2023;1;Robo/Hurto Automotor;CATE 911;579;CON;Alsina;Garay;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Alsina y Garay ;-57.5430657,-38.0138413;corregido_automatico
3061;1;2023;1;Robo/Hurto Automotor;CATE 911;447;CON;Jara;Matheu;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Jara y Matheu ;-57.58465592883736,-38.00396359999707;corregido_manual
3063;1;2023;1;Robo/Hurto Automotor;CATE 911;117;CON;San Juan;Moreno;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;San Juan y Moreno ;-57.56499,-37.99369;corregido_paso1_cruce_interno
3099;1;2023;1;Robo/Hurto Automotor;CATE 911;476;CON;Independencia;Primera Junta;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Independencia y Primera Junta ;-57.5639469,-38.009959;PENDIENTE_GEOCODIFICAR
3117;1;2023;1;Robo/Hurto Automotor;CATE 911;442;CON;Avellaneda;Aristobulo Del Valle;Hallazgo Automotor;Mar del Plata;Buenos Aires;Argentina;Avellaneda y Aristobulo Del Valle ;-57.5288615,-38.024548;ok
3325;1;2023;2;Robo/Hurto Automotor;CATE 911;213;CON;De La Plaza;Brumana;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;De La Plaza y Brumana ;-57.5989053,-38.024153;PENDIENTE_GEOCODIFICAR
3337;1;2023;2;Robo/Hurto Automotor;CATE 911;438;CON;Juan B Alberdi;Santa Fe;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Juan B Alberdi y Santa Fe ;-57.5424627,-37.999160;PENDIENTE_GEOCODIFICAR
3343;1;2023;2;Robo/Hurto Automotor;CATE 911;147;CON;Juan B Justo;Santiago Del Estero;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Juan B Justo y Santiago Del Estero ;-57.5658417,-38.022930;PENDIENTE_GEOCODIFICAR
3534;1;2023;2;Robo/Hurto Automotor;CATE 911;390;CON;Jacinto Peralta Ramos;Tripulacion Del Fournier;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Jacinto Peralta Ramos y Tripulacion Del Fournier ;-57.5810893,-38.027150;PENDIENTE_GEOCODIFICAR
3574;1;2023;2;Robo/Hurto Automotor;CATE 911;205;CON;Mendoza;Patricio Peralta Ramos;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Mendoza y Patricio Peralta Ramos ;-57.532792300014926,-38.00993141348637;corregido_manual
3677;1;2023;2;Robo/Hurto Automotor;CATE 911;401;CON;De La Plaza;Polonia;Hallazgo Automotor;Mar del Plata;Buenos Aires;Argentina;De La Plaza y Polonia ;-57.603598,-38.020598;corregido_manual
3709;1;2023;2;Robo/Hurto Automotor;CATE 911;244;CON;Mario Bravo;Thomas A Edison;Secuestro De Vehiculo;Mar del Plata;Buenos Aires;Argentina;Mario Bravo y Thomas A Edison ;-57.5712209,-38.060584;PENDIENTE_GEOCODIFICAR
3721;1;2023;2;Robo/Hurto Automotor;CATE 911;39;CON;De Los Trabajadores;Puan;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;De Los Trabajadores y Puan ;-57.5467061,-38.063469;PENDIENTE_GEOCODIFICAR
3764;1;2023;2;Robo/Hurto Automotor;CATE 911;132;CON;Della Paolera;Constitucion;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Della Paolera y Constitucion ;-57.577638599993875,-37.95332999163166;corregido_manual
3765;1;2023;2;Robo/Hurto Automotor;CATE 911;420;CON;Alvarado;Dorrego;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Alvarado y Dorrego ;-57.5684679,-38.003225;PENDIENTE_GEOCODIFICAR
3809;1;2023;2;Robo/Hurto Automotor;CATE 911;123;CON;Juan B Justo;Arturo Alio;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Juan B Justo y Arturo Alio ;-57.6081559,-37.991077;PENDIENTE_GEOCODIFICAR
3853;1;2023;2;Robo/Hurto Automotor;CATE 911;582;CON;Juan B Alberdi;San Luis;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Juan B Alberdi y San Luis ;-57.54651167118105,-37.997205489350144;corregido_manual
4031;1;2023;2;Robo/Hurto Automotor;CATE 911;620;CON;Saavedra;Salta;Persecucion Y Perdida;Mar del Plata;Buenos Aires;Argentina;Saavedra y Salta ;-57.5662977,-38.0110106;corregido_automatico
4157;1;2023;2;Robo/Hurto Automotor;CATE 911;113;CON;Roca;Cordoba;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Roca y Cordoba ;-57.5572385,-38.012245;PENDIENTE_GEOCODIFICAR
4182;1;2023;2;Robo/Hurto Automotor;CATE 911;103;CON;Tucuman;Avenida Colon;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Tucuman y Colon ;-57.5441781,-38.0065117;corregido_automatico
4205;1;2023;2;Robo/Hurto Automotor;COM;435;CON;San Martin;Santiago Del Estero;Persecucion Y Detencion;Mar del Plata;Buenos Aires;Argentina;San Martin y Santiago Del Estero ;-57.54602022014687,-37.99984361840497;corregido_paso1_cruce_interno
4356;1;2023;2;Robo/Hurto Automotor;CATE 911;442;CON;Avellaneda;Aristobulo Del Valle;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Avellaneda y Aristobulo Del Valle ;-57.5288615,-38.024548;ok
4384;1;2023;2;Robo/Hurto Automotor;CATE 911;352;CON;Matteotti;Irala;Asiste Unidad Sanitaria y Traslada;Mar del Plata;Buenos Aires;Argentina;Matteotti y Irala ;-57.5701584,-38.027851;PENDIENTE_GEOCODIFICAR
4492;1;2023;2;Robo/Hurto Automotor;CATE 911;595;CON;Gaboto;Florencio Sanchez;No Asiste;Mar del Plata;Buenos Aires;Argentina;Gaboto y Florencio Sanchez ;-57.571944,-38.0211079;corregido_automatico
4494;1;2023;2;Robo/Hurto Automotor;CATE 911;558;CON;Tucuman;Rodriguez Pena;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Tucuman y Rodriguez Pena ;-57.5518769,-38.016046;ok
4514;1;2023;2;Robo/Hurto Automotor;CATE 911;91;CON;Villar;Carasa;Hallazgo Automotor;Mar del Plata;Buenos Aires;Argentina;Villar y Carasa ;-57.5928098,-38.034049;PENDIENTE_GEOCODIFICAR
4587;1;2023;2;Robo/Hurto Automotor;CATE 911;113;CON;Cordoba;San Lorenzo;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Cordoba y San Lorenzo ;-57.55657,-38.01144;corregido_paso1_cruce_interno
4644;1;2023;2;Robo/Hurto Automotor;CATE 911;103;CON;Tucuman;Falucho;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Tucuman y Falucho ;-57.54552,-38.00816;corregido_paso1_cruce_interno
4672;1;2023;2;Robo/Hurto Automotor;CATE 911;475;CON;Arturo Alio;San Lorenzo;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Arturo Alio y San Lorenzo ;-57.6061479,-37.988587;PENDIENTE_GEOCODIFICAR
4678;1;2023;2;Robo/Hurto Automotor;CATE 911;540;CON;Belgrano;Italia;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Belgrano y Italia ;-57.5682827,-37.9908686;corregido_automatico
4721;1;2023;2;Robo/Hurto Automotor;CATE 911;475;CON;Avellaneda;Estado De Israel;Se Realiza Seguimiento del Evento;Mar del Plata;Buenos Aires;Argentina;Avellaneda y Estado De Israel ;-57.6001763,-37.9882774;corregido_automatico
4772;1;2023;2;Robo/Hurto Automotor;CATE 911;241;CON;Cerrito;calle 73;Hallazgo Automotor;Mar del Plata;Buenos Aires;Argentina;Cerrito y calle 73 ;-57.5873881,-38.0576814;corregido_automatico
4996;1;2023;2;Robo/Hurto Automotor;ORIGEN DIFERIDO;5001;SIN;Fermin Errea;Castelli;Asiste Bomberos;Mar del Plata;Buenos Aires;Argentina;Fermin Errea y Castelli ;-57.62701,-37.97243;ok
4999;1;2023;2;Robo/Hurto Automotor;CATE 911;285;CON;Tripulacion Del Fournier;Posadas;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Tripulacion Del Fournier y Posadas ;-57.558046,-38.049688;PENDIENTE_GEOCODIFICAR
5027;1;2023;2;Robo/Hurto Automotor;CATE 911;1;CON;Doce de Octubre;Fernandez;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Doce de Octubre y Fernandez ;-57.6062347,-37.997846;ok
5052;1;2023;2;Robo/Hurto Automotor;CATE 911;447;CON;Jara;Matheu;Hallazgo Automotor;Mar del Plata;Buenos Aires;Argentina;Jara y Matheu ;-57.58465592883736,-38.00396359999707;corregido_manual
5101;1;2023;2;Robo/Hurto Automotor;CATE 911;57;CON;Hipolito Yrigoyen;Pedro Luro;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Hipolito Yrigoyen y Pedro Luro ;-57.54918597116351,-37.99702949873746;corregido_manual
5126;1;2023;2;Robo/Hurto Automotor;CATE 911;577;CON;Tetamanti;Manrique;Hallazgo Automotor;Mar del Plata;Buenos Aires;Argentina;Tetamanti y Manrique ;-57.6239556,-38.020857;PENDIENTE_GEOCODIFICAR
5129;1;2023;2;Robo/Hurto Automotor;CATE 911;279;CON;Thomas A Edison;Napoles;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Thomas A Edison y Napoles ;-57.5613839,-38.052473;PENDIENTE_GEOCODIFICAR
5194;1;2023;2;Robo/Hurto Automotor;CATE 911;445;CON;25 De mayo;Salta;No Asiste;Mar del Plata;Buenos Aires;Argentina;Veinticinco de Mayo y Salta ;-57.55569,-37.992600;ok
5252;1;2023;2;Robo/Hurto Automotor;CATE 911;223;CON;Ruta 11;Calle 515;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Ruta 11 y Calle 515 ;-57.6021868,-38.126321;PENDIENTE_GEOCODIFICAR
5292;1;2023;2;Robo/Hurto Automotor;CATE 911;256;CON;Jara;Santa Cruz;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Jara y Santa Cruz ;-57.5601005,-37.973508;PENDIENTE_GEOCODIFICAR
5607;1;2023;2;Robo/Hurto Automotor;CATE 911;108;CON;Patricio Peralta Ramos;Lamadrid;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Patricio Peralta Ramos y Lamadrid ;-57.5423229,-38.005856;PENDIENTE_GEOCODIFICAR
5617;1;2023;2;Robo/Hurto Automotor;CATE 911;284;CON;Thomas A Edison;Calabria;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Thomas A Edison y Calabria ;-57.56636169768922,-38.05658077479432;corregido_manual
5684;1;2023;2;Robo/Hurto Automotor;CATE 911;297;CON;Talcahuano;Benito Lynch;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Talcahuano y Benito Lynch ;-57.5914491,-38.0441375;corregido_automatico
5793;1;2023;3;Robo/Hurto Automotor;CATE 911;804;CON;Patricio Peralta Ramos;Chacabuco;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Patricio Peralta Ramos y Chacabuco ;-57.5452102,-37.989941;ok
5855;1;2023;3;Robo/Hurto Automotor;ORIGEN DIFERIDO;702;CON;Juan B Justo;Espana;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Juan B Justo y Espana ;-57.573906299983484,-38.016919316313675;corregido_manual
5881;1;2023;3;Robo/Hurto Automotor;CATE 911;661;CON;Falucho;Chaco;No Asiste;Mar del Plata;Buenos Aires;Argentina;Falucho y Chaco ;-57.5695957,-37.9959618;corregido_automatico
5976;1;2023;3;Robo/Hurto Automotor;CATE 911;366;CON;Juan B Justo;Tucuman;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Juan B Justo y Tucuman ;-57.5586371,-38.028354;PENDIENTE_GEOCODIFICAR
5981;1;2023;3;Robo/Hurto Automotor;CATE 911;551;CON;Alsina;Rawson;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Alsina y Rawson ;-57.5424318,-38.013034;ok
5995;1;2023;3;Robo/Hurto Automotor;CATE 911;510;CON;italia;Beruti;Hallazgo Automotor;Mar del Plata;Buenos Aires;Argentina;italia y Beruti ;-57.55722,-37.97718;ok
6006;1;2023;3;Robo/Hurto Automotor;CATE 911;571;CON;Avenida Colon;Corrientes;Se Realiza Seguimiento del Evento;Mar del Plata;Buenos Aires;Argentina;colon y Corrientes ;-57.54719,-38.00499;corregido_paso1_cruce_interno
6084;1;2023;3;Robo/Hurto Automotor;CATE 911;401;CON;De La Plaza;Inda;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;De La Plaza y Inda ;-57.60629940944848,-38.01858297049899;corregido_manual
6278;1;2023;3;Robo/Hurto Automotor;CATE 911;478;CON;Alberti;Catamarca;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Alberti y Catamarca ;-57.5577514,-38.0041716;corregido_automatico
6319;1;2023;3;Robo/Hurto Automotor;CATE 911;390;CON;Jacinto Peralta Ramos;Guanahani;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Jacinto Peralta Ramos y Guanahani ;-57.57944,-38.02576;corregido_paso1_cruce_interno
6592;1;2023;3;Robo/Hurto Automotor;CATE 911;78;CON;Talcahuano;Azopardo;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Talcahuano y Azopardo ;-57.5757751,-38.031178;PENDIENTE_GEOCODIFICAR
6714;1;2023;3;Robo/Hurto Automotor;CATE 911;435;CON;San Martin;Santiago Del Estero;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;San Martin y Santiago Del Estero ;-57.54602022014687,-37.99984361840497;corregido_paso1_cruce_interno
6743;1;2023;3;Robo/Hurto Automotor;CATE 911;262;CON;Felix U Camet;Strobel;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Felix U Camet y Strobel ;-57.5443845,-37.981392;PENDIENTE_GEOCODIFICAR
6780;1;2023;3;Robo/Hurto Automotor;CATE 911;459;CON;Luis Dellepiane;Soler;Secuestro De Vehiculo;Mar del Plata;Buenos Aires;Argentina;Luis Dellepiane y Soler ;-57.5799064,-38.033221;PENDIENTE_GEOCODIFICAR
6846;1;2023;3;Robo/Hurto Automotor;CATE 911;541;CON;Rivadavia;Chaco;Hallazgo Automotor;Mar del Plata;Buenos Aires;Argentina;Rivadavia y Chaco ;-57.5657024,-37.991062;corregido_automatico
6856;1;2023;3;Robo/Hurto Automotor;CATE 911;649;CON;Antartida Argentina;Chuyantuya;Detencion;Mar del Plata;Buenos Aires;Argentina;Antartida Argentina y Chuyantuya ;-57.6109001,-38.056516;PENDIENTE_GEOCODIFICAR
6957;1;2023;3;Robo/Hurto Automotor;CATE 911;667;CON;Patricio Peralta Ramos;Quintana;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Patricio Peralta Ramos y Quintana ;-57.5339843,-38.028355;PENDIENTE_GEOCODIFICAR
6977;1;2023;3;Robo/Hurto Automotor;CATE 911;290;CON;De La Plaza;Alejandro Korn;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;De La Plaza y Alejandro Korn ;-57.5683127,-38.047249;PENDIENTE_GEOCODIFICAR
6986;1;2023;3;Robo/Hurto Automotor;CATE 911;595;CON;Jujuy;Alvarado;No Asiste;Mar del Plata;Buenos Aires;Argentina;Jujuy y Alvarado ;-57.563455,-38.0057372;corregido_automatico
7007;1;2023;3;Robo/Hurto Automotor;CATE 911;57;CON;Pedro Luro;Hipolito Yrigoyen;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Pedro Luro y Hipolito Yrigoyen ;-57.54918597116351,-37.99702949873746;corregido_manual
7177;1;2023;3;Robo/Hurto Automotor;CATE 911;103;CON;Avenida Colon;Buenos Aires;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Colon y Buenos Aires ;-57.5648180,-37.9960748;corregido_automatico
7199;1;2023;3;Robo/Hurto Automotor;CATE 911;700;CON;Independencia;Bolivar;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Independencia y Bolivar ;-57.5562156,-38.000392;PENDIENTE_GEOCODIFICAR
7282;1;2023;3;Robo/Hurto Automotor;CATE 911;702;CON;Independencia;Juan B Justo;No Asiste;Mar del Plata;Buenos Aires;Argentina;Independencia y Juan B Justo ;-57.5711611,-38.018900;PENDIENTE_GEOCODIFICAR
7373;1;2023;3;Robo/Hurto Automotor;CATE 911;88;CON;Dorrego;Rodriguez Pena;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Dorrego y Rodriguez Pena ;-57.5700073,-38.006882;PENDIENTE_GEOCODIFICAR
7378;1;2023;3;Robo/Hurto Automotor;CATE 911;809;CON;Pedro Luro;Chile;Hallazgo Automotor;Mar del Plata;Buenos Aires;Argentina;Pedro Luro y Chile ;-57.5754804,-37.983806;PENDIENTE_GEOCODIFICAR
7399;1;2023;3;Robo/Hurto Automotor;CATE 911;401;CON;Inda;De La Plaza;No Asiste;Mar del Plata;Buenos Aires;Argentina;Inda y De La Plaza ;-57.60629940944848,-38.01858297049899;corregido_manual
7506;1;2023;3;Robo/Hurto Automotor;CATE 911;705;CON;Patricio Peralta Ramos;Tres de 02;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Patricio Peralta Ramos y Tres de 02 ;-57.5415961,-38.000949;PENDIENTE_GEOCODIFICAR
7520;1;2023;3;Robo/Hurto Automotor;CATE 911;285;CON;Thomas A Edison;Soler;Asiste Unidad Sanitaria y Traslada;Mar del Plata;Buenos Aires;Argentina;Thomas A Edison y Soler ;-57.558046,-38.049688;PENDIENTE_GEOCODIFICAR
7624;1;2023;3;Robo/Hurto Automotor;CATE 911;674;CON;Guerrico;Sicilia;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Guerrico y Sicilia ;-57.6039517,-38.050607;ok
7697;1;2023;3;Robo/Hurto Automotor;CATE 911;67;CON;Independencia;Juan J Paso;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Independencia y Juan J Paso ;-57.56907,-38.01636;ok
7729;1;2023;3;Robo/Hurto Automotor;CATE 911;60;CON;Pedro Luro;Del Libano;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Pedro Luro y Del Libano ;-57.5863716,-37.978182;PENDIENTE_GEOCODIFICAR
7761;1;2023;3;Robo/Hurto Automotor;CATE 911;91;CON;Genova;Gonzalez Chaves;Asiste Policia y Libera;Mar del Plata;Buenos Aires;Argentina;Genova y Gonzalez Chaves ;-57.5928098,-38.034049;PENDIENTE_GEOCODIFICAR
7823;1;2023;3;Robo/Hurto Automotor;CATE 911;571;CON;Alte Brown;Tucuman;No Asiste;Mar del Plata;Buenos Aires;Argentina;Alte Brown y Tucuman ;-57.544860871163195,-38.0073224124334;corregido_manual
