,,,
WKT,nombre,descripción,
POINT (-57.57032779999999 -38.005619),Tomás Guido & General Roca,,
POINT (-57.570986 -38.006424),Tomás Guido & Rodríguez Peña,,
POINT (-57.5806601 -37.97861779999999),CHAMPAGNAT 1382 - 9 DE JULIO 6191,PA 8 - DAHUA,
POINT (-57.59267999999999 -37.9763954),San Martín 7146,,
POINT (-57.54918670000001 -37.9970932),Avenida Pedro Luro & Hipólito Yrigoyen,DEP MUNI - ISLA,
POINT (-57.5936221 -37.9871556),Tres Arroyos & Rawson,,
POINT (-57.7714566 -37.9304984),Villa Padre Luis Varetto,,
POINT (-57.62567749999999 -37.998635),Tripulantes del Fournier 1112,PC 9 - HIKVISION,
POINT (-57.5561293 -38.0325885),Alvear 171,PC 5 HIKVISION,
POINT (-57.54524819999999 -38.04013279999999),Solis 3430,PC 9 - HIKVISION,
POINT (-57.56386630000001 -37.9785112),Ituzaingo 4998,PC 9 - HIKVISION,
POINT (-57.5413414 -38.0080851),Av. Colón 1702,,
POINT (-57.5556869 -38.03237790000001),Solis 4630,PC 9 - HIKVISION,
POINT (-57.56738110000001 -38.006727),20 de Septiembre 3265,PC 9 - HIKVISION,
POINT (-57.5652094 -38.0532849),Napoles 3669,PC 9 - HIKVISION,
POINT (-57.56546309999999 -37.993623),Moreno 4241,PC 9 - HIKVISION,
POINT (-57.59338570000001 -37.9588574),Beruti 8106,PC 9 - HIKVISION,
POINT (-57.5442103 -38.0040101),Moreno 2145,PC 3 DAHUA,
POINT (-57.5451698 -37.9458425),Godoy Cruz 5366,PC 8 - DAHUA,
POINT (-57.5509436 -37.98116890000001),Tomás Guido 277,,
POINT (-57.5755065 -38.00155389999999),Misiones 3172,PC 8 - DAHUA,
POINT (-57.5510671 -38.00091339999999),DRS,,
POINT (-57.5534545 -37.9362855),Las Margaritas,,
POINT (-57.551021 -38.04359950000001),Edison 701,PC 8 - DAHUA,
POINT (-57.5522088 -37.9416813),Ciancheta 3120,PC 7 - EZVIZ,
POINT (-57.56429509999999 -37.9771544),Necochea 5098,PC 7 - EZVIZ,
POINT (-57.5531386 -37.997267),Rivadavia 3171,PC 9 - HIKVISION,
POINT (-57.539985 -38.0129575),Alberti 1343,PC 9 - HIKVISION,
POINT (-57.5361506 -38.02822010000001),Alem 3790,PC 9 - HIKVISION,
POINT (-57.57056720000001 -38.0278483),Mateotti 637,PC 9 - HIKVISION,
POINT (-57.5665856 -38.0401305),Cerrito 1349,PC 4 DAHUA,
POINT (-57.5833648 -37.97969570000001),Mariano Acosta y Luro,PC 9 - HIKVISION,
POINT (-57.55206620000001 -37.9742247),Libres del Sud y Rejon,PC 9 - HIKVISION,
POINT (-57.54630969999999 -37.9695325),Constitucion 4254,PC 9 - HIKVISION,
POINT (-57.57422270000001 -38.0363512),Rosales 5418,PC 9 -  HIKVISION,
POINT (-57.59052559999999 -38.00547359999999),Los Sauces 96,PC 9 - HIKVISION,
POINT (-57.5966673 -37.9905874),Tres Arroyos 3149,PC 9 - HIKVISION,
POINT (-57.5347934 -38.0119192),MENDOZA 2259,PC 9 - HIKVISION,
POINT (-57.5657627 -38.0166019),Laprida 2957,PC 2 - DAHUA,
POINT (-57.56828340000001 -37.96505090000001),Padre Cardiel 6062,PC 3 DAHUA,
POINT (-57.5899145 -38.0183912),República de Cuba 1034,PC 5 HIKVISION,
POINT (-57.59254629999999 -37.9140869),Calle Gavazzi,,
POINT (-57.57496399999999 -38.0451622),Puán 4866,PC 4 DAHUA,
POINT (-57.5471292 -38.0425815),12 de Octubre 3374,PC 9 - HIKVISION,
POINT (-57.5333582 -37.9239013),Mahatma Gandhi,,
POINT (-57.56210279999999 -38.0029251),Rawson 3469,,
POINT (-57.5996748 -37.9782613),Armenia 2191,,
POINT (-57.57221060000001 -38.0520404),Diagonal Canata 2581,PC 4 DAHUA,
POINT (-57.5476924 -38.032019),Lavalle 4626,,
POINT (-57.5481231 -37.9934704),La Rioja 1223,,
POINT (-57.5878797 -37.9529495),Florisbelo Acosta 8144,PC 8 - DAHUA,
POINT (-57.6642884 -38.0022054),Calle 6,,
POINT (-57.5538532 -38.0002841),Bolívar 3053,PC 4 - DAHUA,
POINT (-57.5832871 -38.0109296),De los Inmigrantes 81,PC 4 DAHUA,
POINT (-57.57018540000001 -38.0158228),AVENIDA PASO 3302 - SALTA 4214,PC 8 - DAHUA,
POINT (-57.6031735 -38.0076625),Guanahani 9209,PC 4 DAHUA,
POINT (-57.59819 -38.0061373),Ayolas 9019,PC 1 DAHUA,
POINT (-57.59381310000001 -38.0360077),Casildo Villar 2611,PC 8 - DAHUA,
POINT (-57.5563322 -38.0027607),falucho 3086,PC 5 HIKVISIONN,
POINT (-57.5848766 -38.0462963),Güiraldes 5345,PC 5 HIKVISION,
POINT (-57.585356 -37.985525),Av. Colón 6101,PC 5 HIKVISION,
POINT (-57.5622918 -37.99357940000001),Funes 1873,PC 7 - EZVIZ,
POINT (-57.54821159999999 -38.0674048),Pérez Bulnes 2361,PC 7 - EZVIZ,
POINT (-57.55316560000001 -38.0633369),Giacobini 2331,,
POINT (-57.59216139999999 -37.9153086),Gavazzi 1033,PC 7 - EZVIZ,
POINT (-57.61021840000001 -38.0014782),Hernandarias 10068,PC 7 - EZVIZ,
POINT (-57.5560152 -38.078233),Colombres 3572,PC 7 - EZVIZ,
POINT (-57.5854033 -38.1081119),Calle 457 nro 459  entre 6 y 8 - San Patricio,PC 7 - EZVIZ,
POINT (-57.5795829 -38.01986),Viña del Mar 624,PC 7 - EZVIZ,
POINT (-57.5832097 -37.99878140000001),Marconi 3278,PC 7 - EZVIZ,
POINT (-57.58539260000001 -37.9771584),Tres Arroyos 1468,PC 7 - EZVIZ,
POINT (-57.5759205 -38.0144219),Dorrego 4337,PC 7 - EZVIZ,
POINT (-57.6091408 -37.8817517),Calle S Guerrico,,
POINT (-57.550777 -37.9873504),Chacabuco 3556,PC 7 - EZVIZ,
POINT (-57.57919020000001 -38.0283719),Juana Manso 1187,PC 7 - EZVIZ,
POINT (-57.548466 -38.003118),Bolívar & Santiago del Estero,PC 5 HIKVISION,
POINT (-57.57551729999999 -37.9966446),Don Bosco 2716,PC 5 HIKVISION,
POINT (-57.5832674 -38.0375497),Talcahuano 2102,PC 5 HIKVISION,
POINT (-57.5640502 -38.101092),Cnel. de Marina David Jewett 5021,PC 5 HIKVISION,
POINT (-57.57900799999999 -38.0023306),Rodríguez Peña & Neuquén,PC 5 HIKVISION,
POINT (-57.5442575 -38.0013792),Corrientes 1753,,
POINT (-57.5452473 -38.009055),Arenales 2477,PC 6 HIKVISION,
POINT (-57.5495517 -37.9985868),DIAGONAL PUEYRREDON 2936,PC 5 HIKVISON,
POINT (-57.56487879999999 -37.9799667),Av. Juan Héctor Jara 798,PC 5 HIKVISION,
POINT (-57.5742628 -37.9751047),Malvinas 785,PC 5 HIKVISION,
POINT (-57.5527015 -37.9822361),Deán Funes 440,PC 5 HIKVISION,
POINT (-57.55539499999999 -38.008145),San Luis 2849,PC 6 HIKVISION,
POINT (-57.5951144 -37.9733456),Armenia 1552,,
POINT (-57.59505609999999 -37.9737989),Av. Pedro Luro 7479,,
POINT (-57.5661488 -38.0224568),Av. Juan B. Justo 2655,,
POINT (-57.5478687 -38.0091092),Alberti 2107,PC 6 HIKVISION,
POINT (-57.5948304 -37.9729123),25 de Mayo 7494,,
POINT (-57.56789269999999 -37.99781179999999),Gascón 4185,,
POINT (-57.5322027 -38.014997),Falucho 670,,
POINT (-57.5430858 -38.0105434),Gascón 1698,,
POINT (-57.5388419 -38.0240267),Gral. Paz 3535,PC 6 HIKVISION,
POINT (-57.59070260000001 -38.0404908),Antonio Valentini 2767,,
POINT (-57.5581972 -37.9908169),Tomás Guido 1458,PC 6 HIKVISION,
POINT (-57.56117709999999 -38.0388737),José Hernández 942,PC 5 HIKVISION,
POINT (-57.56247759999999 -37.9878209),9 de Julio 4359,PC 5 HIKVISION,
POINT (-57.5507967 -37.9616255),Av. Carlos Tejedor 1491,PC 5 DAHUA,
POINT (-57.5594911 -37.9828757),Chaco 799,PC 5 HIKVISION,
POINT (-57.56369360000001 -38.0276156),ESTEBAN ETCHEVERRIA 223,PC 5 HIKVISION,
POINT (-57.5622137 -38.0782135),Las Margaritas & Los Chañares,PC 5 HIKVISION,
POINT (-57.5895647 -38.0071362),Los Olmos 8674 Y LOS EUCALIPTUS 2240,PC 5 HIKVISION,
POINT (-57.5597436 -37.9953081),Belgrano 3740,PC 5 HIKVISION,
POINT (-57.5589674 -38.0737771),Los olmos 1798,,
POINT (-57.5872749 -38.0221942),Vertiz 7225,PC 9 - HIKVISION,
POINT (-57.61870509999999 -37.95933410000001),9 de Julio 9949,PC 9 - HIKVISION,
POINT (-57.5454793 -38.0105303),Alberti 1860,,
POINT (-57.5661514 -38.0234332),Talcahuano 46,PC 9 - HIKVISION,
POINT (-57.59163969999999 -37.9430674),Lijo López 8980,,
POINT (-57.5640326 -38.0239272),Sta. Fe 4637,,
POINT (-57.5436038 -37.998849),Santa Fe & Diagonal Alberdi Sur,,
POINT (-57.5447208 -37.9846646),Boulevard Maritimo Patricio Peralta Ramos - desconectada por el usuario,,
POINT (-57.5872529 -37.9772579),República del Líbano 1551,PC 3 DAHUA,
POINT (-57.60774139999999 -37.9909653),Av. Juan B. Justo 7399,PC 1 ,
POINT (-57.56409179999999 -37.9933115),Belgrano 4150,PC 2 DAHUA,
POINT (-57.585089 -38.0062204),Francia 4019,,
POINT (-57.57070280000001 -38.0188051),Av. Independencia 4466,PC 2 DAHUA,
POINT (-57.7082185 -38.0068352),Punto 315,,
POINT (-57.5442188 -37.9977736),Santiago del Estero 1447,PC 4 DAHUA,
POINT (-57.5868517 -38.0164882),Irala 7626,PC 4 DAHUA,
POINT (-57.57099039999999 -38.1006646),C. 6 6343,,
POINT (-57.55760429999999 -37.9961123),BELGRANO 3547 - 20 DE SEPTIEMBRE 1856,,
,PC 8 - DAHUA,,
POINT (-57.5987274 -38.1075188),Calle 18 & Calle 475,PC 5 HIKVISION,
POINT (-57.5955194 -37.9464554),PASAJE Castagnino 816,PC 5 HIKVISION,
POINT (-57.54259440000001 -37.9982573),9 de Julio 2344,PC 5 HIKVISION,
POINT (-57.55843840000001 -37.9700387),José Ingenieros 382,PC 5 HIKVISION,
POINT (-57.5719598 -37.97893129999999),Av. Libertad 5526,PC 5 HIKVISION,
POINT (-57.572508 -37.9788773),Av. Libertad 5564,PC 5 HIKVISION,
POINT (-57.5537174 -37.9955843),Salta 1664,PC 5 HIKVISION,
POINT (-57.5577858 -37.9545422),Olegario Andrade 1791,PC 5 HIKVISION,
POINT (-57.54395099999999 -38.00263119999999),Entre rios 1839,PC 5 HIKVISION,
POINT (-57.59468150000001 -38.0174654),Magnasco 1245,PC 7 - EZVIZ,
POINT (-57.55669330000001 -38.0774815),Castro Barros 3550,PC 7 - EZVIZ,
POINT (-57.5603177 -38.0353658),Cerrito 616,PC 5 HIKVISION,
POINT (-57.56101719999999 -37.9971881),14 de Julio 2143,PC 5 HIKVISION,
POINT (-57.57576599999999 -37.9837599),TIENDA LEÓN MDQ,,
POINT (-57.56830799999999 -38.0190656),Larrea 2998,,
POINT (-57.5268083 -38.01829049999999),Aristóbulo del Valle 2480,PC 7 - EZVIZ,
"LINESTRING (-57.5562537 -38.000381, -57.5551057 -38.0009424)",Línea 341,,
POINT (-57.5718641 -37.9988634),Chaco 2766,PC 7 - EZVIZ,
POINT (-57.6037363 -38.1143618),Calle 495 nro 874,PC 7 - EZVIZ,
POINT (-57.55961569999999 -37.9707414),Ingenieros 283,PC 7 - EZVIZ,
POINT (-57.55316560000001 -38.0633369),Giacobini 2331,PC 7 - EZVIZ,
POINT (-57.58405510000001 -37.9840063),Doctor Victoriano E. Montes,,
POINT (-57.5466706 -38.0212312),Saavedra 1330,PC 7 - EZVIZ,
POINT (-57.6084976 -38.0213763),Guerrico 2335,PC 7 - EZVIZ,
POINT (-57.5732635 -38.0301944),Mateotti 981,PC 7 - EZVIZ,
POINT (-57.5488335 -37.987195),Ayacucho 3424,PC 7 - EZVIZ,
POINT (-57.60730989999999 -38.0035912),Hernandarias 9746,PC 7 - EZVIZ,
POINT (-57.55841710000001 -37.99823850000001),Bolívar 3478,PC 7 - EZVIZ,
POINT (-57.57825200000001 -38.0427621),Puan 5242,PC 7 - EZVIZ,
POINT (-57.5828585 -38.0394036),Rafael del Riego 2231,Pc 7 - EZVIZ,
POINT (-57.5975744 -38.0577943),Manzana 6 Casa 36 - Lomas del Golf,PC 7 - EZVIZ,
POINT (-57.56018189999999 -37.971675),Jose Ingenieros 157,PC 7 - EZVIZ,
POINT (-57.5992097 -37.9810335),Falucho entre 180 y 178,Pc 7 - EZVIZ,
POINT (-57.56630730000001 -38.0278022),12 de Octubre 5575,PC 7 - EZVIZ,
POINT (-57.60174799999999 -37.978143),Arrue 2270,Pc 7 - EZVIZ,
POINT (-57.5461949 -38.00763999999999),Falucho 2007 - BUENOS AIRES 2302,PC 1 ,
POINT (-57.59258469999999 -37.9878026),Complejo Edicilio Habit Uta Mar del Plat,,
POINT (-57.5508493 -37.999793),Belgrano 2864,PC 1 DAHUA,
POINT (-57.58088509999999 -38.0032194),Don Bosco 3568,PC 5 HIKVISION,
POINT (-57.5619202 -38.0022968),España 2612,PC 5 HIKVISION,
POINT (-57.54982200000001 -37.9993588),Mitre 1817,PC 5 HIKVISION,
POINT (-57.58389899999999 -38.023351),Av. Lisandro de la Torre 1078,PC 5 HIKVISION,
POINT (-57.5552383 -38.0098686),Córdoba 2992,PC 5 HIKVISION,
POINT (-57.55213610000001 -38.0308033),Carlos Alvear 4726,PC 5 HIKVISION,
POINT (-57.5496517 -38.00947),Rawson 2218,PC 5 HIKVISION,
POINT (-57.54814080000001 -37.9956364),Hipólito Yrigoyen 1417,PC 5 HIKVISION,
POINT (-57.5678574 -38.0066833),Gral. Roca 3655,PC 5 HIKVISION,
POINT (-57.5701984 -38.0064838),Rodríguez Peña 3825,PC 5 HIKVISION,
POINT (-57.5504355 -38.0044141),Almte. Brown 2575,,
POINT (-57.54919510000001 -38.0073014),Gascón 2308,PC 5 HIKVISION,
POINT (-57.5780907 -38.0072327),Matheu & La Pampa,PC 5 HIKVISION,
POINT (-57.5581894 -37.9711139),Av. Carlos Tejedor 301,PC 5 HIKVISION ,
POINT (-57.561726 -38.003429),Rawson 3404,PC 5 HIKVISION,
POINT (-57.5896409 -37.9694659),Av. Libertad 7331,PC 5 HIKVISION,
POINT (-57.57576599999999 -37.9837599),LURO Y MEXICO,PC 5 HIKVISION,
POINT (-57.7635499 -37.9555983),Adolfo y Olga,PC 9 - HIKVISION,
POINT (-57.7784836 -37.9409112),Angela y Arturo ,PC 9 - HIKVISION,
POINT (-57.7843779 -37.9432543),Francisco y San Martin,PC 9 - HIKVISION,
POINT (-57.5635104 -38.0066825),diagonal alberdi y santa fe,,
POINT (-57.5732896 -38.0827327),Los Mocoretas & Caupolican,,
POINT (-57.57346140000001 -37.9952097),Gascon 4785,PC 9 - HIKVISION,
POINT (-57.5475205 -37.9967517),Bartolomé Mitre & 25 de Mayo,,
POINT (-57.5832202 -38.04100409999999),Genova 5635,PC 9 - HIKVISION,
POINT (-57.5510671 -38.00091339999999),Mitre 2011,,
POINT (-57.5728214 -38.0111853),Formosa 3756,,
POINT (-57.5712209 -38.0605842),Mario Bravo y Edison,PC 9 - HIKVISION,
POINT (-57.5688585 -38.0857189),Los Araucanos,PC 9 - HIKVISION,
POINT (-57.5829277 -38.0665682),Jorge Hernandez 1066,PC 9 - HIKVISION,
POINT (-57.60552200000001 -37.9415241),López de Gomara 5055,,
POINT (-57.5763948 -37.964138),Torres de Vera y Aragon 100,PC 9 - HIKVISION,
POINT (-57.57750720000001 -37.9646867),Rio Negro 6750,PC 9 - HIKVISION,
POINT (-57.57770900000001 -37.9640007),Martinez Zuviría 50,PC 9 - HIKVISION,
POINT (-57.55363669999999 -38.0019541),Av. Colón 2936,PC 5 HIKVISION,
POINT (-57.57529359999999 -37.9817339),9 de julio 5602,,
POINT (-57.5440109 -37.9729361),Ricardo Gutiérrez 781,PC 5 HIKVISION,
POINT (-57.58645860000001 -38.1016615),Calle 445 & Calle 14,PC 5 HIKVISION,
POINT (-57.57993609999999 -38.02947),Juana Manso 1320,PC 5 HIKVISION,
POINT (-57.605503 -37.940399),Valencia 10101,PC 5 HIKVISION,
POINT (-57.657222 -37.941111),PROCOSUD Ruta 226 km7,5,PC 5 HIKVISON
