,Latitud,Longitud,Direccion,N CAMARA,Domos,Fijas,LPR,Cant. Cam. LPR,Total Camaras,Ciudad,Barrios,Pais,Provincia,Tipo de Arteria,Corredor,C. ESCOLARES,C. SEGUIMIENTO
,"-57,5984115","-37,979096","Avenida Colon y  Avenida Doctor Arturo Alio, Mar del Plata, Provincia de Buenos Aires, Argentina",22,0,0,LPR 2 (NORTE),1,1,Mar del Plata,Coronel Dorrego,Argentina,Buenos Aires,Avenida,,CORREDOR-A,22D-528D-54D-527D-327D-327F1-13D
,"-57,5984115","-37,979096","Avenida Colon y  Avenida Doctor Arturo Alio, Mar del Plata, Provincia de Buenos Aires, Argentina",22,1,0,,0,1,Mar del Plata,Coronel Dorrego,Argentina,Buenos Aires,Avenida,,CORREDOR-A,22D-129D-231F1-231F2-016D-475F2-475D
,"-57,5743265","-37,991243","Avenida Colon y  Avenida Juan Hector Jara, Mar del Plata, Provincia de Buenos Aires, Argentina",23,1,0,,0,1,Mar del Plata,Don Bosco,Argentina,Buenos Aires,Avenida,,,
,"-57,6034481","-37,97646","Avenida Colon y  Jose Maria Calaza, Mar del Plata, Provincia de Buenos Aires, Argentina",24,1,0,,0,1,Mar del Plata,Coronel Dorrego,Argentina,Buenos Aires,Calle,,,
,"-57,6030559","-37,990158","Remedios de Escalada yRodriguez Peña, Mar del Plata, Provincia de Buenos Aires, Argentina",25,1,0,,0,1,Mar del Plata,Regional,Argentina,Buenos Aires,Calle,,,
,"-57,5811967","-37,952034","Constitucion y Ruta 2, Mar del Plata, Provincia de Buenos Aires, Argentina",27,1,5,,0,6,Mar del Plata,La Florida,Argentina,Buenos Aires,Ruta,1,,
,"-57,5695867","-37,957402","Avenida Constitucion y Montes Carballo, Mar del Plata, Provincia de Buenos Aires, Argentina",28,1,0,,0,1,Mar del Plata,Caisamar,Argentina,Buenos Aires,Avenida,,,
,"-57,543546","-37,97015","Constitucion y la Costa, Mar del Plata, Provincia de Buenos Aires, Argentina",29,0,0,LPR,1,1,Mar del Plata,Constitucion,Argentina,Buenos Aires,Avenida,1,,29D-503F1-604D-504D-30D-449D-133D
,"-57,543546","-37,97015","Constitucion y la Costa, Mar del Plata, Provincia de Buenos Aires, Argentina",29,1,0,,0,1,Mar del Plata,Constitucion,Argentina,Buenos Aires,Avenida,1,,
,"-57,543546","-37,97015","Constitucion y la Costa, Mar del Plata, Provincia de Buenos Aires, Argentina",29,0,2,,0,2,Mar del Plata,Constitucion,Argentina,Buenos Aires,Avenida,1,,
,"-57,5534873","-37,965546","Constitucion Y Tejedor, Mar del Plata, Provincia de Buenos Aires, Argentina",30,1,1,,0,2,Mar del Plata,Constitucion,Argentina,Buenos Aires,Avenida,,,
,"-57,58443","-38,02322","San Salvador y Avenida Lisandro de la Torre, Mar del Plata, Provincia de Buenos Aires, Argentina",31,1,0,,0,1,Mar del Plata,Peralta Ramos Oeste,Argentina,Buenos Aires,Avenida,,,
,"-57,5482786","-38,041544","Avenida Edison y 12 de Octubre, Mar del Plata, Provincia de Buenos Aires, Argentina",33,1,1,,0,2,Mar del Plata,Villa Lourdes,Argentina,Buenos Aires,Avenida,1,CORREDOR 21,
,"-57,5823727","-38,036624","Avenida Fortunato de la Plaza y Talcahuano, Mar del Plata, Provincia de Buenos Aires, Argentina",35,1,0,,0,1,Mar del Plata,El Progreso,Argentina,Buenos Aires,Avenida,,,
,"-57,5467061","-38,063469","Avenida de los Trabajadores y Avenida Fortunato de la Plaza, Mar del Plata, Provincia de Buenos Aires, Argentina",39,1,0,,0,1,Mar del Plata,Punta Mogotes,Argentina,Buenos Aires,Avenida,,,
,"-57,5450508","-37,98667","Avenida Independencia y Necochea, Mar del Plata, Provincia de Buenos Aires, Argentina",41,1,0,,0,1,Mar del Plata,La Perla,Argentina,Buenos Aires,Avenida,,,
,"-57,5500985","-38,034791","Avenida Juan B. Justo 800, Mar del Plata, Provincia de Buenos Aires, Argentina",43,1,0,,0,1,Mar del Plata,San Carlos,Argentina,Buenos Aires,Avenida,,CORREDOR 3,
,"-57,5923995","-38,002978","Avenida Juan B. Justo y Reforma Universitaria, Mar del Plata, Provincia de Buenos Aires, Argentina",44,1,0,,0,1,Mar del Plata,Bosque Alegre,Argentina,Buenos Aires,Avenida,,,
,"-57,5767165","-38,014813","Avenida Juan B. Justo y Americo Raul Canosa, Mar del Plata, Provincia de Buenos Aires, Argentina",45,1,0,,0,1,Mar del Plata,Peralta Ramos Oeste,Argentina,Buenos Aires,Avenida,,,
,"-57,5739063","-38,016949","Avenida Juan B. Justo y Espana, Mar del Plata, Provincia de Buenos Aires, Argentina",46,1,0,,0,1,Mar del Plata,Peralta Ramos Oeste,Argentina,Buenos Aires,Avenida,,,
,"-57,6028352","-37,995097","Avenida Juan B. Justo y Fernandez J. N. , Mar del Plata, Provincia de Buenos Aires, Argentina",47,1,0,,0,1,Mar del Plata,Las Americas,Argentina,Buenos Aires,Avenida,,CORREDOR 5,
,"-57,603612","-37,962734","Avenida Libertad y Brasil, Mar del Plata, Provincia de Buenos Aires, Argentina",48,1,0,,0,1,Mar del Plata,Libertad,Argentina,Buenos Aires,Avenida,,,
,"-57,5665035","-37,981458","Avenida Libertad y Avenida Juan Hector Jara, Mar del Plata, Provincia de Buenos Aires, Argentina",49,1,3,,0,4,Mar del Plata,Nueve de Julio,Argentina,Buenos Aires,Avenida,,,
,"-57,5623817","-37,990442","Avenida Pedro Luro y San Juan, Mar del Plata, Provincia de Buenos Aires, Argentina",50,1,1,,0,2,Mar del Plata,Estacion Norte,Argentina,Buenos Aires,Avenida,,,
,"-57,5685616","-37,980484","Avenida Libertad y Marconi, Mar del Plata, Provincia de Buenos Aires, Argentina",51,1,0,,0,1,Mar del Plata,Sarmiento,Argentina,Buenos Aires,Avenida,,,
,"-57,5943871","-37,974118","Avenida Pedro Luro y Avenida Doctor ArturoAlio, Mar del Plata, Provincia de Buenos Aires, Argentina",54,1,0,,0,1,Mar del Plata,Nueve de Julio,Argentina,Buenos Aires,Avenida,,CORREDOR-A,
,"-57,5784575","-37,98228","Avenida Pedro Luro y Teodoro Bronzini, Mar del Plata, Provincia de Buenos Aires, Argentina",55,1,0,,0,1,Mar del Plata,Sarmiento,Argentina,Buenos Aires,Avenida,,,
,"-57,5512087","-37,996078","Avenida Pedro Luro y Catamarca, Mar del Plata, Provincia de Buenos Aires, Argentina",56,1,1,,0,2,Mar del Plata,Centro,Argentina,Buenos Aires,Avenida,,,
,"-57,5491867","-37,997093","Avenida Pedro Luro y Hipolito Yrigoyen, Mar del Plata, Provincia de Buenos Aires, Argentina",57,1,2,,0,3,Mar del Plata,Centro,Argentina,Buenos Aires,Avenida,,,
,"-57,5663445","-37,988436","Avenida Pedro Luro y Italia, Mar del Plata, Provincia de Buenos Aires, Argentina",58,1,0,,0,1,Mar del Plata,Don Bosco,Argentina,Buenos Aires,Avenida,,,
,"-57,5533841","-37,994994","Avenida Pedro Luro y Salta, Mar del Plata, Provincia de Buenos Aires, Argentina",59,1,0,,0,1,Mar del Plata,Centro,Argentina,Buenos Aires,Avenida,,,
,"-57,5863716","-37,978182","Avenida Pedro Luro y Tres Arroyos, Mar del Plata, Provincia de Buenos Aires, Argentina",60,1,0,,0,1,Mar del Plata,Nueve de Julio,Argentina,Buenos Aires,Avenida,,,
,"-57,5440553","-38,044661","Avenida de los Trabajadores y 12 de Octubre, Mar del Plata, Provincia de Buenos Aires, Argentina",61,1,0,,0,1,Mar del Plata,Puerto,Argentina,Buenos Aires,Avenida,,,
,"-57,5947315","-38,042963","Avenida Mario Bravo y AvenidaAntartida Argentina, Mar del Plata, Provincia de Buenos Aires, Argentina",62,0,0,LPR 1 (SUR),1,1,Mar del Plata,Florencio Sanchez,Argentina,Buenos Aires,Avenida,,,62D-392D-392F1-674D-649D-649F1
,"-57,5947315","-38,042963","Avenida Mario Bravo y AvenidaAntartida Argentina, Mar del Plata, Provincia de Buenos Aires, Argentina",62,0,0,LPR 2 (NORTE),1,1,Mar del Plata,Florencio Sanchez,Argentina,Buenos Aires,Avenida,,,62D-295D-296D-79D-79F1-391D-391F1
,"-57,5947315","-38,042963","Avenida Mario Bravo y AvenidaAntartida Argentina, Mar del Plata, Provincia de Buenos Aires, Argentina",62,1,0,,0,1,Mar del Plata,Florencio Sanchez,Argentina,Buenos Aires,Avenida,,,
,"-57,5815795","-38,052827","Avenida Mario Bravo y Cerrito, Mar del Plata, Provincia de Buenos Aires, Argentina",63,1,0,,0,1,Mar del Plata,Cerrito Sur,Argentina,Buenos Aires,Avenida,,,
,"-57,5690794","-38,016362","Avenida Independencia y Avenida Juan Jose Paso, Mar del Plata, Provincia de Buenos Aires, Argentina",67,1,1,,0,2,Mar del Plata,San Jose,Argentina,Buenos Aires,Avenida,,,
,"-57,575201","-38,013278","Avenida Juan Jose Paso y Dorrego, Mar del Plata, Provincia de Buenos Aires, Argentina",68,1,0,,0,1,Mar del Plata,San Jose,Argentina,Buenos Aires,Avenida,,,
,"-57,5500601","-38,025982","Avenida Juan Jose Paso y Martin Miguel de Guemes, Mar del Plata, Provincia de Buenos Aires, Argentina",69,1,0,,0,1,Mar del Plata,San Carlos,Argentina,Buenos Aires,Avenida,,,
,"-57,554059","-38,023976","Avenida Juan Jose Paso y Las Heras, Mar del Plata, Provincia de Buenos Aires, Argentina",70,1,0,,0,1,Mar del Plata,San Carlos,Argentina,Buenos Aires,Avenida,,,
,"-57,602293","-38,011125","Avenida Vertiz y Reforma Universitaria, Mar del Plata, Provincia de Buenos Aires, Argentina",74,0,0,LPR 1 (OESTE),1,1,Mar del Plata,San Antono,Argentina,Buenos Aires,Avenida,,,74D-633D-77D
,"-57,602293","-38,011125","Avenida Vertiz y Reforma Universitaria, Mar del Plata, Provincia de Buenos Aires, Argentina",74,0,0,LPR 2 (NORTE),1,1,Mar del Plata,San Antono,Argentina,Buenos Aires,Avenida,,,74D-467D-467F2-467F1-044D
,"-57,602293","-38,011125","Avenida Vertiz y Reforma Universitaria, Mar del Plata, Provincia de Buenos Aires, Argentina",74,1,0,,0,1,Mar del Plata,San Antono,Argentina,Buenos Aires,Avenida,,,
,"-57,554795","-38,04697","Avenida Edison y Avenida Vertiz, Mar del Plata, Provincia de Buenos Aires, Argentina",75,1,0,,0,1,Mar del Plata,Villa Lourdes,Argentina,Buenos Aires,Avenida,,,
,"-57,5651377","-38,039175","Avenida Vertiz y Cerrito, Mar del Plata, Provincia de Buenos Aires, Argentina",76,1,2,,0,3,Mar del Plata,Cerrito San Salvador,Argentina,Buenos Aires,Avenida,,,
,"-57,6084355","-38,006507","Avenida Vertiz y Ruta Provincial 88, Mar del Plata, Provincia de Buenos Aires, Argentina",77,1,0,,0,1,Mar del Plata,Don Emilio,Argentina,Buenos Aires,Ruta,,,
,"-57,5757751","-38,031178","Avenida Vertiz y Talcahuano, Mar del Plata, Provincia de Buenos Aires, Argentina",78,1,0,,0,1,Mar del Plata,El Progreso,Argentina,Buenos Aires,Avenida,,,
,"-57,5876566","-38,032577","Avenida Jacinto Peralta Ramos y Avenida Fortunato de la Plaza, Mar del Plata, Provincia de Buenos Aires, Argentina",79,0,0,LPR 1 (OESTE),1,1,Mar del Plata,El Progreso,Argentina,Buenos Aires,Avenida,,,79D-213D-213F1-213F2-324D-324F1-401D
,"-57,5876566","-38,032577","Avenida Jacinto Peralta Ramos y Avenida Fortunato de la Plaza, Mar del Plata, Provincia de Buenos Aires, Argentina",79,0,0,LPR 2 (SUR),1,1,Mar del Plata,El Progreso,Argentina,Buenos Aires,Avenida,,,79D-296D-296F2-295D-295F1-62D
,"-57,5876566","-38,032577","Avenida Jacinto Peralta Ramos y Avenida Fortunato de la Plaza, Mar del Plata, Provincia de Buenos Aires, Argentina",79,1,0,,0,1,Mar del Plata,El Progreso,Argentina,Buenos Aires,Avenida,,,
,"-57,5876566","-38,032577","Avenida Jacinto Peralta Ramos y Avenida Fortunato de la Plaza, Mar del Plata, Provincia de Buenos Aires, Argentina",79,0,2,,0,2,Mar del Plata,El Progreso,Argentina,Buenos Aires,Avenida,,,
,"-57,5431804","-38,003574","Buenos Aires 1900, Mar del Plata, Provincia de Buenos Aires, Argentina",80,1,2,,0,3,Mar del Plata,Centro,Argentina,Buenos Aires,Calle,,,
,"-57,571921","-37,974176","Teodoro Bronzini y Ituzaingo, Mar del Plata, Provincia de Buenos Aires, Argentina",81,1,0,,0,1,Mar del Plata,Villa Primera,Argentina,Buenos Aires,Calle,,,
,"-57,583558","-37,995586","Chile y Alvarado, Mar del Plata, Provincia de Buenos Aires, Argentina",84,1,0,,0,1,Mar del Plata,Bernardino Rivadavia,Argentina,Buenos Aires,Calle,,,
,"-57,5470348","-37,997893","Diagonal Alberdi Sur y San Luis, Mar del Plata, Provincia de Buenos Aires, Argentina",85,1,0,,0,1,Mar del Plata,Centro,Argentina,Buenos Aires,Calle,,,
,"-57,5700073","-38,006882","Dorrego yRodriguez Peña, Mar del Plata, Provincia de Buenos Aires, Argentina",88,1,0,,0,1,Mar del Plata,San Jose,Argentina,Buenos Aires,Calle,,,
,"-57,5713761","-38,005071","Dean Funes y General Roca, Mar del Plata, Provincia de Buenos Aires, Argentina",90,1,0,,0,1,Mar del Plata,Pinos de Anchorena,Argentina,Buenos Aires,Calle,,CORREDOR 13,
,"-57,5928098","-38,034049","Genova yGonzalez Chavez, Mar del Plata, Provincia de Buenos Aires, Argentina",91,1,0,,0,1,Mar del Plata,El Martillo,Argentina,Buenos Aires,Calle,,,
,"-57,5617655","-38,039121","Guanahani y Jose Hernandez, Mar del Plata, Provincia de Buenos Aires, Argentina",92,1,0,,0,1,Mar del Plata,Villa Lourdes,Argentina,Buenos Aires,Calle,,,
,"-57,5416617","-38,01564","Martin Miguel de Guemes y Castelli, Mar del Plata, Provincia de Buenos Aires, Argentina",93,1,0,,0,1,Mar del Plata,Lomas de Stella Maris,Argentina,Buenos Aires,Calle,1,,
,"-57,6172119","-38,020791","Heguilor y William Morris, Mar del Plata, Provincia de Buenos Aires, Argentina",94,1,0,,0,1,Mar del Plata,Las Heras,Argentina,Buenos Aires,Calle,,CORREDOR 4,
,"-57,5805489","-38,006021","Italia y Matheu, Mar del Plata, Provincia de Buenos Aires, Argentina",95,1,0,,0,1,Mar del Plata,Bernardino Rivadavia,Argentina,Buenos Aires,Calle,,,
,"-57,5600526","-38,040418","Juramento y Guanahani, Mar del Plata, Provincia de Buenos Aires, Argentina",96,1,0,,0,1,Mar del Plata,Villa Lourdes,Argentina,Buenos Aires,Calle,,CORREDOR 1,
,"-57,558436","-37,98557","Avenida Libertad y San Juan, Mar del Plata, Provincia de Buenos Aires, Argentina",102,1,0,,0,1,Mar del Plata,Villa Primera,Argentina,Buenos Aires,Avenida,,,
,"-57,5441499","-38,006448","Avenida Colon y  Tucuman, Mar del Plata, Provincia de Buenos Aires, Argentina",103,1,0,,0,1,Mar del Plata,Macrocentro,Argentina,Buenos Aires,Avenida,,,
,"-57,5689131","-37,998553","San Juan y Alberti, Mar del Plata, Provincia de Buenos Aires, Argentina",104,1,0,,0,1,Mar del Plata,San Juan,Argentina,Buenos Aires,Calle,,CORREDOR 10,
,"-57,5519957","-37,977611","Patagones y Rio Negro, Mar del Plata, Provincia de Buenos Aires, Argentina",105,1,0,,0,1,Mar del Plata,Parque Luro,Argentina,Buenos Aires,Calle,,,
,"-57,5916338","-37,98814","Bahia Blanca y Rawson, Mar del Plata, Provincia de Buenos Aires, Argentina",106,1,0,,0,1,Mar del Plata,Las Lilas,Argentina,Buenos Aires,Calle,,CORREDOR 15,
,"-57,599021","-37,960492","Pigue y Ituzaingo, Mar del Plata, Provincia de Buenos Aires, Argentina",107,1,0,,0,1,Mar del Plata,Libertad,Argentina,Buenos Aires,Calle,,CORREDOR 20,
,"-57,5423229","-38,005856","Avenida Patricio Peralta Ramos y Arenales, Mar del Plata, Provincia de Buenos Aires, Argentina",108,0,0,LPR 1 (NORTE),1,1,Mar del Plata,Centro,Argentina,Buenos Aires,Avenida,,,108D-80D-705D-438D-583D-443D-804D
,"-57,5423229","-38,005856","Avenida Patricio Peralta Ramos y Arenales, Mar del Plata, Provincia de Buenos Aires, Argentina",108,0,0,LPR 2 (ESTE),1,1,Mar del Plata,Centro,Argentina,Buenos Aires,Avenida,,,108D-80D-80F1-80F2-522D-520D-520F2
,"-57,5423229","-38,005856","Avenida Patricio Peralta Ramos y Arenales, Mar del Plata, Provincia de Buenos Aires, Argentina",108,1,0,,0,1,Mar del Plata,Centro,Argentina,Buenos Aires,Avenida,,,
,"-57,5534508","-38,03764","12 de Octubre 4099, Mar del Plata, Provincia de Buenos Aires, Argentina",109,1,0,,0,1,Mar del Plata,Villa Lourdes,Argentina,Buenos Aires,Calle,,CORREDOR 3,
,"-57,5529726","-38,003361","Plaza Mitre, Brown y Mitre, Mar del Plata, Provincia de Buenos Aires, Argentina",110,1,0,,0,1,Mar del Plata,Plaza Mitre,Argentina,Buenos Aires,Calle,,,
,"-57,5455517","-38,00127","Rivadavia y Santa Fe, Mar del Plata, Provincia de Buenos Aires, Argentina",111,1,3,,0,4,Mar del Plata,Centro,Argentina,Buenos Aires,Calle,1,,
,"-57,533249","-38,024363","General Roca y Leandro N. Alem, Mar del Plata, Provincia de Buenos Aires, Argentina",112,1,0,,0,1,Mar del Plata,Playa Grande,Argentina,Buenos Aires,Calle,2,,
,"-57,5572385","-38,012245","General Roca y Cordoba, Mar del Plata, Provincia de Buenos Aires, Argentina",113,1,0,,0,1,Mar del Plata,General Roca,Argentina,Buenos Aires,Calle,,,
,"-57,5901096","-37,996706","Rodriguez Pena y Teodoro Bronzini, Mar del Plata, Provincia de Buenos Aires, Argentina",114,1,0,,0,1,Mar del Plata,Bernardino Rivadavia,Argentina,Buenos Aires,Calle,,,
,"-57,6004918","-38,002141","Ruta Provincial 88 y 12 de Octubre, Mar del Plata, Provincia de Buenos Aires, Argentina",116,1,0,,0,1,Mar del Plata,El Gaucho,Argentina,Buenos Aires,Ruta,,,
,"-57,5643311","-37,992875","San Juan y Belgrano, Mar del Plata, Provincia de Buenos Aires, Argentina",117,1,0,,0,1,Mar del Plata,Don Bosco,Argentina,Buenos Aires,Calle,,,
,"-57,6095352","-37,985725","General Roca y Coronel Suarez, Mar del Plata, Provincia de Buenos Aires, Argentina",118,1,0,,0,1,Mar del Plata,Belisario Roldan,Argentina,Buenos Aires,Calle,,,
,"-57,5979268","-37,999305","Avenida Centenario, Mar del Plata, Provincia de Buenos Aires, Argentina",122,1,0,,0,1,Mar del Plata,El Gaucho,Argentina,Buenos Aires,Avenida,,,
,"-57,6081559","-37,991077","Avenida Juan B. Justo y Avenida Doctor ArturoAlio, Mar del Plata, Provincia de Buenos Aires, Argentina",123,1,0,,0,1,Mar del Plata,Belisario Roldan,Argentina,Buenos Aires,Avenida,,,
,"-57,5792254","-37,974816","Libertad y champagnat, Mar del Plata, Provincia de Buenos Aires, Argentina",125,1,0,,0,1,Mar del Plata,Nueve de Julio,Argentina,Buenos Aires,Ruta,,,
,"-57,5995298","-37,987503","Alvarado y Estado de Israel, Mar del Plata, Provincia de Buenos Aires, Argentina",127,1,0,,0,1,Mar del Plata,Las Lilas,Argentina,Buenos Aires,Calle,,CORREDOR 25,
,"-57,5980671","-37,992662","Rodriguez Pena y Tres Arroyos, Mar del Plata, Provincia de Buenos Aires, Argentina",128,1,0,,0,1,Mar del Plata,Regional,Argentina,Buenos Aires,Calle,,,
,"-57,6003789","-37,981485","Gascon y Avenida Doctor ArturoAlio, Mar del Plata, Provincia de Buenos Aires, Argentina",129,1,0,,0,1,Mar del Plata,Las Lilas,Argentina,Buenos Aires,Avenida,,,
,"-57,5801545","-37,956823","Monsenor Zabala 53, Mar del Plata, Provincia de Buenos Aires, Argentina",130,1,0,,0,1,Mar del Plata,Los Pinares,Argentina,Buenos Aires,Avenida,,,
,"-57,5846765","-37,962135","Avenida Doctor ArturoAlio 100, Mar del Plata, Provincia de Buenos Aires, Argentina",131,1,2,,0,3,Mar del Plata,Malvinas Argentinas,Argentina,Buenos Aires,Avenida,,,
,"-57,5776386","-37,953402","Avenida Constitucion y Avenida Della Paolera, Mar del Plata, Provincia de Buenos Aires, Argentina",132,1,0,,0,1,Mar del Plata,Caisamar,Argentina,Buenos Aires,Avenida,,,
,"-57,5596159","-37,962428","Avenida Constitucion y Ricardo Palma, Mar del Plata, Provincia de Buenos Aires, Argentina",133,1,0,,0,1,Mar del Plata,Caisamar,Argentina,Buenos Aires,Avenida,,,
,"-57,5736162","-37,955461","Avenida Constitucion y Juan Bautista de la Salle, Mar del Plata, Provincia de Buenos Aires, Argentina",134,1,0,,0,1,Mar del Plata,Caisamar,Argentina,Buenos Aires,Avenida,,,
,"-57,580792","-37,999187","Avenida Juan Hector Jara y San Lorenzo, Mar del Plata, Provincia de Buenos Aires, Argentina",135,1,0,,0,1,Mar del Plata,Bernardino Rivadavia,Argentina,Buenos Aires,Avenida,,,
,"-57,5773882","-37,989685","Avenida Colon y  Uruguay, Mar del Plata, Provincia de Buenos Aires, Argentina",136,1,0,,0,1,Mar del Plata,Don Bosco,Argentina,Buenos Aires,Avenida,,,
,"-57,574544","-37,977418","Avenida Libertad y Teodoro Bronzini, Mar del Plata, Provincia de Buenos Aires, Argentina",137,1,0,,0,1,Mar del Plata,Sarmiento,Argentina,Buenos Aires,Avenida,,,
,"-57,5693676","-37,971027","Berutti y Teodoro Bronzini, Mar del Plata, Provincia de Buenos Aires, Argentina",138,1,0,,0,1,Mar del Plata,Villa Primera,Argentina,Buenos Aires,Calle,,,
,"-57,5774929","-37,966805","Beruti 6654, Mar del Plata, Provincia de Buenos Aires, Argentina",139,1,0,,0,1,Mar del Plata,Villa Primera,Argentina,Buenos Aires,Ruta,,,
,"-57,588819","-37,972516","11 de Septiembre y Remedios de Escalada, Mar del Plata, Provincia de Buenos Aires, Argentina",140,1,0,,0,1,Mar del Plata,Nueve de Julio,Argentina,Buenos Aires,Calle,,,
,"-57,59718","-37,97030","9 de Julio y Coronel Suarez, Mar del Plata, Provincia de Buenos Aires, Argentina",141,1,0,,0,1,Mar del Plata,Coronel Dorrego,Argentina,Buenos Aires,Calle,,,
,"-57,5835018","-37,960517","Avenida Della Paolera y Falkner, Mar del Plata, Provincia de Buenos Aires, Argentina",142,1,0,,0,1,Mar del Plata,Los Pinares,Argentina,Buenos Aires,Avenida,,,
,"-57,5725102","-38,028462","Talcahuano y Ortiz deZarate, Mar del Plata, Provincia de Buenos Aires, Argentina",143,1,0,,0,1,Mar del Plata,Las Avenidas,Argentina,Buenos Aires,Calle,,,
,"-57,5800793","-38,012322","Avenida Juan B. Justo y San Juan, Mar del Plata, Provincia de Buenos Aires, Argentina",144,1,0,,0,1,Mar del Plata,Bernardino Rivadavia,Argentina,Buenos Aires,Avenida,,,
,"-57,5871294","-38,006956","Avenida Juan B. Justo y Avenida Juan Hector Jara, Mar del Plata, Provincia de Buenos Aires, Argentina",145,1,0,,0,1,Mar del Plata,Bernardino Rivadavia,Argentina,Buenos Aires,Avenida,,,
,"-57,5685457","-38,021045","Avenida Juan B. Justo y Bestoso, Mar del Plata, Provincia de Buenos Aires, Argentina",146,1,0,,0,1,Mar del Plata,Peralta Ramos Oeste,Argentina,Buenos Aires,Avenida,,,
,"-57,5658417","-38,02293","Avenida Juan B. Justo y Talcahuano, Mar del Plata, Provincia de Buenos Aires, Argentina",147,1,0,,0,1,Mar del Plata,Peralta Ramos Oeste,Argentina,Buenos Aires,Avenida,,,
